2017-08-28 18:03:53 INFO  VerifyLoginwithInvalidCredentials:23 - ===Starting LoginwithInvalidCredentials Test===
2017-08-28 18:03:55 INFO  Homepage:43 - Clicked on Sign In and object is:[[ChromeDriver: chrome on XP (dd2c4a898579cbe3a376d4fdc4b70da7)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
2017-08-28 18:03:55 INFO  Homepage:47 - Entered email address is:test@gmail.comand object is [[ChromeDriver: chrome on XP (dd2c4a898579cbe3a376d4fdc4b70da7)] -> xpath: //input[@id='email']]
2017-08-28 18:03:55 INFO  Homepage:50 - Entered password is:password123and object is [[ChromeDriver: chrome on XP (dd2c4a898579cbe3a376d4fdc4b70da7)] -> xpath: //input[@id='passwd']]
2017-08-28 18:03:55 INFO  Homepage:53 - Clicked on submit button and the object is:[[ChromeDriver: chrome on XP (dd2c4a898579cbe3a376d4fdc4b70da7)] -> xpath: //button[@id='SubmitLogin']/span/i]
2017-08-28 18:03:57 INFO  Homepage:59 - Error message isAuthentication failed.
2017-08-28 18:03:57 INFO  VerifyLoginwithInvalidCredentials:27 - ===Finished LoginwithInvalidCredentials Test===
2017-08-28 20:19:02 INFO  Homepage:41 - Clicked on Sign In and object is:[[ChromeDriver: chrome on XP (7492738f6f77037dde6f2de853994b99)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
2017-08-28 20:19:30 INFO  Homepage:41 - Clicked on Sign In and object is:[[ChromeDriver: chrome on XP (9cee4dbbb32592c63a4dc9f38b86fe21)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
2017-08-28 20:33:59 INFO  Homepage:41 - Clicked on Sign In and object is:[[ChromeDriver: chrome on XP (988db70555e457ad8291afaa62b68af6)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
2017-08-28 20:43:43 INFO  Homepage:41 - Clicked on Sign In and object is:[[ChromeDriver: chrome on XP (2f87a782662983bb13e4908c5a4a63bd)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
2017-08-28 20:45:59 INFO  Homepage:41 - Clicked on Sign In and object is:[[ChromeDriver: chrome on XP (0663db2463a5dc8cec4582e2095262f4)] -> xpath: //div[@class='header_user_info']/a[@class='login']]
